Species,Species_name,Code_ExpOp_GFS,Landclass_ExpOp_GFS,Flor_P1_b,Flor_p2_b,Flor_P3_b,Nest_per_ha,Total_score
2,GroundNestingSolitaryBees,42,Sugar Beet,0,0,0,0,0
2,GroundNestingSolitaryBees,43,Vegetables,7.6,7.6,7.6,6,136.8
2,GroundNestingSolitaryBees,44,Other3 (please state),NA,NA,NA,NA,NA
2,GroundNestingSolitaryBees,45,Other4 (please state),NA,NA,NA,NA,NA
2,GroundNestingSolitaryBees,46,Urban,0,0,4,0,0
8,TreeNestingBumblebees,1,Afforestation,4,4,2,8.991112667,89.91112667
8,TreeNestingBumblebees,2,"Beaches, Sand Dunes/Plane",2,2,1.333333333,0,0
8,TreeNestingBumblebees,3,Coniferous Woodland,1.333333333,1.333333333,16,10.27555733,191.810403486483
8,TreeNestingBumblebees,4,Deciduous woodland,16,16,10.28571429,16.1840028,684.35211846936
8,TreeNestingBumblebees,5,Ditches,10.28571429,10.28571429,12.57142857,1.5413336,51.0841993252952
8,TreeNestingBumblebees,6,Fallow,12.57142857,12.57142857,20,1.284444667,57.9835021066159
8,TreeNestingBumblebees,7,Gardens,20,20,4,19.26667,847.73348
8,TreeNestingBumblebees,8,Golf Courses,4,4,17.33333333,2.568889333,65.0785297607704
8,TreeNestingBumblebees,9,Grass and Legume Ley,17.33333333,17.33333333,3.428571429,0,0
8,TreeNestingBumblebees,10,Grass Ley,3.428571429,3.428571429,14,0,0
8,TreeNestingBumblebees,11,Grassy Field Edges,14,14,18.4,0,0
8,TreeNestingBumblebees,12,Hedgerows,18.4,18.4,2.285714286,4.6240008,180.732374127035
8,TreeNestingBumblebees,13,Improved Meadow,2.285714286,2.285714286,4.571428571,0,0
8,TreeNestingBumblebees,14,Improved Permanent Grassland,4.571428571,4.571428571,16.8,0.550476286,14.2809276477567
8,TreeNestingBumblebees,15,Moorland,16.8,16.8,8,3.853334,160.2986944
8,TreeNestingBumblebees,16,Organic Ley,8,8,NA,1.5413336,24.6613376
8,TreeNestingBumblebees,17,Poplar,NA,NA,20,0,0
8,TreeNestingBumblebees,18,Salix,20,20,NA,1.5413336,61.653344
8,TreeNestingBumblebees,19,Salt Marsh,NA,NA,16.44444444,0,0
8,TreeNestingBumblebees,20,Scrub,16.44444444,16.44444444,20,3.0826672,163.038842994821
8,TreeNestingBumblebees,21,Unimproved Meadow,20,20,18.4,1.5413336,90.01388224
8,TreeNestingBumblebees,22,Unimproved Permanent Grassland,18.4,18.4,4,0,0
8,TreeNestingBumblebees,23,Wetlands,4,4,20,0,0
8,TreeNestingBumblebees,24,Woodland Edges,20,20,NA,16.1840028,647.360112
8,TreeNestingBumblebees,25,Other1 (please state),NA,NA,NA,NA,NA
8,TreeNestingBumblebees,26,Other2 (please state),NA,NA,17.33333333,NA,NA
8,TreeNestingBumblebees,27,Berries (exc. Strawberries & Raspberries),17.33333333,17.33333333,16.8,0,0
8,TreeNestingBumblebees,28,Broad/Field Beans,16.8,16.8,0,0,0
8,TreeNestingBumblebees,29,Buckwheat,0,0,1,NA,NA
8,TreeNestingBumblebees,30,Cereal,1,1,12,0,0
8,TreeNestingBumblebees,31,Linseed/Flax,12,12,NA,0,0
8,TreeNestingBumblebees,32,Maize,NA,NA,20,NA,NA
8,TreeNestingBumblebees,33,Oilseed Rape,20,20,20,0,0
8,TreeNestingBumblebees,34,Orchards,20,20,0,11.560002,462.40008
8,TreeNestingBumblebees,35,Organic Cereals,0,0,18.4,0,0
8,TreeNestingBumblebees,36,Organic Oilseed Rape,18.4,18.4,16,0,0
8,TreeNestingBumblebees,37,Peas,16,16,NA,0,0
8,TreeNestingBumblebees,38,Potatoes,NA,NA,NA,0,0
8,TreeNestingBumblebees,39,Reed Canary Grass,NA,NA,17.33333333,NA,NA
8,TreeNestingBumblebees,40,Strawberry/Raspberry in Polytunnels,17.33333333,17.33333333,18.66666667,0,0
8,TreeNestingBumblebees,41,Strawberry/Raspberry in the open,18.66666667,18.66666667,NA,0,0
8,TreeNestingBumblebees,42,Sugar Beet,NA,NA,12,NA,NA
8,TreeNestingBumblebees,43,Vegetables,12,12,NA,NA,NA
8,TreeNestingBumblebees,44,Other3 (please state),NA,NA,NA,NA,NA
8,TreeNestingBumblebees,45,Other4 (please state),NA,NA,0,NA,NA
8,TreeNestingBumblebees,46,Urban,0,0,,0,0
